"Timestamp","Yaşınız","İl","Kaç Yıldır Araba Kullanıyorsunuz","Ne Zamandır T10X kullanıyorsunuz?","T10X İlk Arabanız Mı?","Yıl","Ay","Renk","Yazılım","Model","Kaç KM yol yaptınız?  ","T10X'in yanısıra içten yanmalı aracım da var. nolur nolmaz.","İlk Sahibiyim","T10X ile Uzun Yol Yaptınız Mı?","Yine elektrikli araç alırım","Yine TOGG alırım","T10F Bekliyorum","Çoğunlukla Aksesuarda şarj ederim","Çoğunlukla ... kadar şarj ederim","Çoğunlukla AC/DC şarj ediyorum.","Çoğunlukla Evden Şarj Ederim","T10X'den memnunum","Neden T10X Aldınız","T10X'i tasarımını beğeniyorum.","T10X'i konforlu buluyorum.","T10X'in içinde güvende hissediyorum.","T10X'in kullanımını kolay buluyorum.","T10X'in şarj tüketiminden memnunum.","T10X'in menzilinden memnunum.","Servis ağını yeterli buluyorum.","Gez uygulamasından memnunum.","Uygulama çeşitliliğini yeterli buluyorum.","Bir yakınıma tavsiye ederim.","Arıza Sebebiyle Yolda Kaldınız mı? ","Bir hata, arızadan dolayı kaç kere servise gitmeniz gerekti?","Arabam Serviste Toplam ... Kadar Kaldı","Servise bir kere gittikten sonra aynı sorun tekrar etti mi?","Bir Arızadan Dolayı Telefon ile destek almanız gerekti mi?","Ne sıklıkla DTC Reset, Yeniden Başlat yapmanız gerekiyor?","Hiç Sinyal Hatası aldınız mı?","Rahatsız Eden Trim Sesleri Var Mı?","Vites Geçişinde Sorun Yaşıyorum","Direksiyonu Çevirince Aracım Gacur Gucur Ediyor.","ESA aldım.","Ses Düzeyi, Cızırtı Sorunu Yaşadım","Ekran Gelmeme Sorunu Yaşadım","Durduk Yere Çalan Alarm Sorunu Yaşadım","Araba uyumadığı için şarjımın azaldığı oldu.","Yüksek Hızda Şarj Olmama Sorunu Yaşadım.","Daha Önce Bataryanız Değişti Mi?","Belirtmek istediğiniz başka sorunlar yaşadıysanız, buyrun","Varsa eklemek istediğiniz yazabilirsiniz."
"2025/07/23 10:27:51 pm GMT+3","36-45","28 - Giresun","10 Yıl+","12-24 Ay","Hayır","2023","ekim","Gemlik","1.5 26","V2 Long Range","20,000 - 50,000","Hayır","Evet","Evet","evet, kesinlikle elektrikli alırım","evet, alabilirim","hayır","Hayır, Beklemede.","90-100","AC","Evet","evet, iyiki almışım","Tasarımını Beğendiğim İçin","10","10","10","8","8","8","3","3","7","8","hayır","1-3","0","evet","hayır","birkaç ayda bir","hayır almadım","hayır, varsa da fark etmedim","hayır, hiç","hayır, nereden çıktı","zaman zaman","hayır, hiç","nadiren, 1-2 kez","hayır, hiç","hayır, hiç","hayır","hayır değişmedi","",""
"2025/07/23 10:28:43 pm GMT+3","45+","26 - Eskişehir","10 Yıl+","12-24 Ay","Hayır","2023","aralık","Pamukkale","1.5 26","V2 Long Range","20,000 - 50,000","Hayır","Evet","Evet","evet, kesinlikle elektrikli alırım","sorunlar giderilirse, düşünebilirim.","evet","Hayır, Beklemede.","80-90","AC","Evet","arada can sıkıyor ama ufak tefek şeyler, genel olarak memnunum","Yerli olduğu için","9","9","8","8","4","8","1","5","7","8","evet","1-3","1 Aydan Az","evet","evet","birkaç ayda bir","nadiren, 1-2 kez","1 yerden geliyor","nadiren, 1-2 kez","evet","zaman zaman","nadiren, 1-2 kez","nadiren, 1-2 kez","hayır, hiç","hayır, hiç","hayır","evet değişti","50",""
"2025/07/23 10:33:22 pm GMT+3","45+","34 - İstanbul","10 Yıl+","6-12 Ay","Hayır","2024","temmuz","Oltu","1.5 26","V2 Long Range","20,000 - 50,000","Hayır","Evet","Evet","evet, kesinlikle elektrikli alırım","evet, alabilirim","evet","Evet","80-90","DC","Hayır, istasyondan","arada can sıkıyor ama ufak tefek şeyler, genel olarak memnunum","SUV olduğu için","8","8","8","9","8","8","6","6","6","8","hayır","1-3","1 Aydan Az","hayır","evet","birkaç ayda bir","hayır almadım","1 yerden geliyor","nadiren, 1-2 kez","fark etmedim","nadiren, 1-2 kez","nadiren, 1-2 kez","nadiren, 1-2 kez","zaman zaman","nadiren, 1-2 kez","hayır","hayır değişmedi","",""
"2025/07/23 10:34:17 pm GMT+3","45+","68 - Aksaray","10 Yıl+","12-24 Ay","Hayır","2023","kasım","Kapadokya","1.5 26","V2 Standart","10,000 - 20,000","Evet","Evet","Evet","evet, kesinlikle elektrikli alırım","sorunlar giderilirse, düşünebilirim.","hayır","Hayır, Beklemede.","80'e kadar","DC","Hayır, istasyondan","arada can sıkıyor ama ufak tefek şeyler, genel olarak memnunum","Yerli olduğu için","10","10","10","8","5","5","5","3","8","8","evet","1","0","evet","evet","haftada bir yaparım en az, nolur nolmaz","zaman zaman","1 yerden geliyor","hayır, hiç","hayır, nereden çıktı","sık sık","hayır, hiç","nadiren, 1-2 kez","zaman zaman","nadiren, 1-2 kez","bilmiyorum","hayır değişmedi","Son günlerde şarj sırasında sürekli kesilme yaşıyoruz ",""
"2025/07/23 10:34:36 pm GMT+3","45+","06 - Ankara","10 Yıl+","12-24 Ay","Hayır","2024","nisan","Oltu","1.5 26","V2 Long Range","10,000 - 20,000","Hayır","Evet","Evet","evet, kesinlikle elektrikli alırım","sorunlar giderilirse, düşünebilirim.","hayır","Hayır, Beklemede.","80'e kadar","AC","Evet","arada can sıkıyor ama ufak tefek şeyler, genel olarak memnunum","Finansman Desteği / Makul Fiyat","8","9","9","9","6","6","1","5","4","5","hayır","1","0","evet","hayır","ayda bir falan","hayır almadım","1 yerden geliyor","hayır, hiç","evet","zaman zaman","hayır, hiç","nadiren, 1-2 kez","nadiren, 1-2 kez","hayır, hiç","evet","hayır değişmedi","",""
"2025/07/23 10:35:17 pm GMT+3","18-25","16 - Bursa","3-10 Yıl","12-24 Ay","Hayır","2024","haziran","Gemlik","1.5 26","V2 Long Range","20,000 - 50,000","Hayır","Evet","Evet","evet, kesinlikle elektrikli alırım","evet, alabilirim","evet","Hayır, Beklemede.","80'e kadar","DC","Hayır, istasyondan","arada can sıkıyor ama ufak tefek şeyler, genel olarak memnunum","Finansman Desteği / Makul Fiyat","9","9","10","9","7","7","2","1","1","8","hayır","3-5","0","evet","evet","ayda bir falan","nadiren, 1-2 kez","1 yerden geliyor","nadiren, 1-2 kez","evet","zaman zaman","hayır, hiç","nadiren, 1-2 kez","nadiren, 1-2 kez","hayır, hiç","hayır","hayır değişmedi","",""
"2025/07/23 10:35:18 pm GMT+3","36-45","34 - İstanbul","10 Yıl+","12-24 Ay","Hayır","2023","aralık","Anadolu","1.5 26","V2 Long Range","10,000 - 20,000","Hayır","Evet","Evet","evet, kesinlikle elektrikli alırım","bi daha asla almam","hayır","Hayır, Beklemede.","80'e kadar","AC","Evet","çok sorun çıkardı, keşke almasaydım","Yerli olduğu için","8","8","7","5","1","4","1","1","4","1","evet","0","1 Aydan Az","hayır","evet","ayda bir falan","nadiren, 1-2 kez","1 yerden geliyor","zaman zaman","evet","nadiren, 1-2 kez","hayır, hiç","zaman zaman","nadiren, 1-2 kez","hayır, hiç","bilmiyorum","hayır değişmedi","",""
"2025/07/23 10:41:12 pm GMT+3","26-35","06 - Ankara","3-10 Yıl","12-24 Ay","Hayır","2024","nisan","Gemlik","1.5 26","V2 Long Range","20,000 - 50,000","Hayır","Evet","Evet","evet, kesinlikle elektrikli alırım","evet, alabilirim","hayır","Hayır, Beklemede.","80'e kadar","AC","Evet","evet, iyiki almışım","Finansman Desteği / Makul Fiyat","10","10","10","10","7","8","4","4","3","10","hayır","1","0","hayır","evet","birkaç ayda bir","zaman zaman","1 yerden geliyor","hayır, hiç","fark etmedim","nadiren, 1-2 kez","zaman zaman","nadiren, 1-2 kez","nadiren, 1-2 kez","hayır, hiç","evet","hayır değişmedi","",""
"2025/07/23 10:41:38 pm GMT+3","45+","06 - Ankara","10 Yıl+","12-24 Ay","Hayır","2023","ekim","Kapadokya","1.5 26","V2 Long Range","20,000 - 50,000","Hayır","Evet","Evet","evet, kesinlikle elektrikli alırım","evet, alabilirim","hayır","Evet","80-90","DC","Hayır, istasyondan","arada can sıkıyor ama ufak tefek şeyler, genel olarak memnunum","Tasarımını Beğendiğim İçin","9","9","9","8","7","7","1","4","2","6","hayır","1-3","1 Aydan Az","hayır","evet","birkaç ayda bir","hayır almadım","hayır, varsa da fark etmedim","hayır, hiç","hayır, nereden çıktı","nadiren, 1-2 kez","nadiren, 1-2 kez","nadiren, 1-2 kez","hayır, hiç","hayır, hiç","hayır","evet değişti","",""
"2025/07/23 10:50:15 pm GMT+3","36-45","50 - Nevşehir","10 Yıl+","12-24 Ay","Hayır","2023","kasım","Kula","1.5 26","V2 Long Range","20,000 - 50,000","Hayır","Evet","Evet","evet, kesinlikle elektrikli alırım","sorunlar giderilirse, düşünebilirim.","hayır","Hayır, Beklemede.","80'e kadar","AC","Evet","çok sorun çıkardı, keşke almasaydım","Yerli olduğu için","10","10","10","8","8","8","1","5","1","4","evet","3-5","2 Ay","evet","evet","ayda bir falan","hayır almadım","hayır, varsa da fark etmedim","hayır, hiç","evet","sık sık","zaman zaman","nadiren, 1-2 kez","nadiren, 1-2 kez","hayır, hiç","hayır","evet değişti","Silecek kolu değişti",""
"2025/07/23 10:50:27 pm GMT+3","36-45","34 - İstanbul","10 Yıl+","12-24 Ay","Hayır","2024","nisan","Gemlik","1.5 26","V2 Long Range","20,000 - 50,000","Hayır","Evet","Evet","evet, kesinlikle elektrikli alırım","evet, alabilirim","evet","Evet","80'e kadar","AC","Evet","evet, iyiki almışım","Yerli olduğu için","9","9","9","8","9","7","6","6","6","9","hayır","0","0","hayır","evet","birkaç ayda bir","hayır almadım","1 yerden geliyor","hayır, hiç","hayır, nereden çıktı","nadiren, 1-2 kez","nadiren, 1-2 kez","nadiren, 1-2 kez","zaman zaman","hayır, hiç","hayır","hayır değişmedi","","Arabayı geçen ay ihtiyaçtan sattım lakin 0 alip 14 ay kullandığım için doldurmak istedim."
"2025/07/23 10:53:24 pm GMT+3","26-35","41 - Kocaeli","10 Yıl+","6-12 Ay","Hayır","2024","ağustos","Kula","1.5 26","V2 Long Range","20,000 - 50,000","Hayır","Evet","Evet","evet, kesinlikle elektrikli alırım","evet, alabilirim","hayır","Hayır, Beklemede.","80'e kadar","AC","Evet","evet, iyiki almışım","Yerli olduğu için","9","10","10","10","8","8","1","1","1","10","hayır","1-3","1 Ay","hayır","evet","birkaç ayda bir","hayır almadım","1 yerden geliyor","hayır, hiç","hayır, nereden çıktı","zaman zaman","nadiren, 1-2 kez","hayır, hiç","hayır, hiç","hayır, hiç","evet","evet değişti","",""
"2025/07/23 10:56:02 pm GMT+3","36-45","57 - Sinop","10 Yıl+","6-12 Ay","Hayır","2024","aralık","Pamukkale","1.5 26","V2 Long Range","10,000 - 20,000","Evet","Evet","Evet","evet, kesinlikle elektrikli alırım","evet, alabilirim","hayır","Evet","80'e kadar","DC","Hayır, istasyondan","arada can sıkıyor ama ufak tefek şeyler, genel olarak memnunum","Yerli olduğu için","10","10","10","9","5","5","1","1","1","10","hayır","1","1 Aydan Az","hayır","evet","birkaç ayda bir","hayır almadım","hayır, varsa da fark etmedim","sık sık","evet","zaman zaman","nadiren, 1-2 kez","hayır, hiç","nadiren, 1-2 kez","hayır, hiç","evet","evet değişti","",""
"2025/07/23 10:56:51 pm GMT+3","36-45","60 - Tokat","10 Yıl+","2 Yıl +","Hayır","2023","ekim","Kapadokya","1.5 26","V2 Long Range","20,000 - 50,000","Hayır","Evet","Evet","evet, kesinlikle elektrikli alırım","evet, alabilirim","evet","Hayır, Beklemede.","80'e kadar","AC","Evet","arada can sıkıyor ama ufak tefek şeyler, genel olarak memnunum","Yerli olduğu için","10","10","10","6","7","8","5","4","4","8","hayır","1-3","0","evet","evet","birkaç ayda bir","hayır almadım","1 yerden geliyor","hayır, hiç","evet","zaman zaman","hayır, hiç","nadiren, 1-2 kez","nadiren, 1-2 kez","hayır, hiç","evet","evet değişti","",""
"2025/07/23 10:59:55 pm GMT+3","36-45","23 - Elazığ","10 Yıl+","6-12 Ay","Hayır","2023","kasım","Pamukkale","1.5 26","V2 Long Range","10,000 - 20,000","Evet","İkinci El Aldım","Evet","evet, kesinlikle elektrikli alırım","evet, alabilirim","evet","Hayır, Beklemede.","80'e kadar","AC","Evet","arada can sıkıyor ama ufak tefek şeyler, genel olarak memnunum","Tasarımını Beğendiğim İçin","10","10","10","8","8","8","1","1","1","10","hayır","0","0","hayır","evet","ayda bir falan","hayır almadım","1'den çok yerden geliyor","hayır, hiç","evet","zaman zaman","zaman zaman","nadiren, 1-2 kez","zaman zaman","nadiren, 1-2 kez","evet","hayır değişmedi","",""
"2025/07/23 11:00:35 pm GMT+3","36-45","09 - Aydın","1-3 Yıl","12-24 Ay","Hayır","2024","haziran","Anadolu","1.5 26","V2 Long Range","10,000 - 20,000","Evet","Evet","Evet","evet, kesinlikle elektrikli alırım","evet, alabilirim","hayır","Hayır, Beklemede.","80'e kadar","AC","Evet","evet, iyiki almışım","Tasarımını Beğendiğim İçin","10","8","10","10","8","9","7","8","8","10","hayır","1-3","0","evet","hayır","birkaç ayda bir","nadiren, 1-2 kez","1 yerden geliyor","hayır, hiç","hayır, nereden çıktı","nadiren, 1-2 kez","hayır, hiç","nadiren, 1-2 kez","nadiren, 1-2 kez","hayır, hiç","hayır","hayır değişmedi","",""
"2025/07/23 11:01:24 pm GMT+3","18-25","50 - Nevşehir","10 Yıl+","12-24 Ay","Hayır","2023","mayıs","Pamukkale","1.5 26","V2 Standart","50,000 - 100,000","Hayır","İkinci El Aldım","Evet","evet, kesinlikle elektrikli alırım","sorunlar giderilirse, düşünebilirim.","evet","Hayır, Beklemede.","80'e kadar","AC","Evet","arada can sıkıyor ama ufak tefek şeyler, genel olarak memnunum","Yerli olduğu için","10","10","10","7","7","6","4","4","1","7","hayır","0","0","hayır","hayır","hiç yapmadım","hayır almadım","hayır, varsa da fark etmedim","hayır, hiç","hayır, nereden çıktı","nadiren, 1-2 kez","zaman zaman","nadiren, 1-2 kez","zaman zaman","hayır, hiç","hayır","hayır değişmedi","",""
"2025/07/23 11:03:49 pm GMT+3","45+","34 - İstanbul","10 Yıl+","12-24 Ay","Hayır","2024","nisan","Gemlik","1.5 24","V2 Long Range","20,000 - 50,000","Evet","Evet","Evet","evet, kesinlikle elektrikli alırım","sorunlar giderilirse, düşünebilirim.","hayır","Hayır, Beklemede.","80-90","AC","Hayır, istasyondan","arada can sıkıyor ama ufak tefek şeyler, genel olarak memnunum","Finansman Desteği / Makul Fiyat","8","8","8","7","7","7","1","1","1","6","hayır","1-3","1 Aydan Az","hayır","evet","birkaç ayda bir","hayır almadım","1 yerden geliyor","hayır, hiç","fark etmedim","zaman zaman","hayır, hiç","nadiren, 1-2 kez","nadiren, 1-2 kez","hayır, hiç","hayır","hayır değişmedi","",""
"2025/07/23 11:04:15 pm GMT+3","45+","34 - İstanbul","10 Yıl+","2 Yıl +","Hayır","2023","kasım","Oltu","1.5 26","V2 Long Range","20,000 - 50,000","Evet","Evet","Evet","evet, kesinlikle elektrikli alırım","bi daha asla almam","hayır","Hayır, Beklemede.","80'e kadar","AC","Evet","çok sorun çıkardı, keşke almasaydım","Finansman Desteği / Makul Fiyat","5","5","3","5","3","3","1","1","1","1","evet","1-3","1 Ay","evet","evet","ayda bir falan","nadiren, 1-2 kez","1'den çok yerden geliyor","zaman zaman","evet","zaman zaman","zaman zaman","zaman zaman","zaman zaman","nadiren, 1-2 kez","evet","hayır değişmedi","",""
"2025/07/23 11:04:34 pm GMT+3","26-35","06 - Ankara","10 Yıl+","12-24 Ay","Evet","2024","haziran","Kula","1.5 26","V2 Long Range","20,000 - 50,000","Hayır","Evet","Evet","evet, kesinlikle elektrikli alırım","sorunlar giderilirse, düşünebilirim.","hayır","Hayır, Beklemede.","80-90","AC","Evet","arada can sıkıyor ama ufak tefek şeyler, genel olarak memnunum","Finansman Desteği / Makul Fiyat","9","7","7","2","5","5","1","1","1","4","hayır","3-5","1 Aydan Az","evet","evet","birkaç ayda bir","nadiren, 1-2 kez","1'den çok yerden geliyor","hayır, hiç","evet","nadiren, 1-2 kez","hayır, hiç","hayır, hiç","nadiren, 1-2 kez","hayır, hiç","hayır","hayır değişmedi","",""
"2025/07/23 11:08:04 pm GMT+3","36-45","35 - İzmir","10 Yıl+","2 Yıl +","Hayır","2023","kasım","Pamukkale","1.5 26","V2 Long Range","20,000 - 50,000","Hayır","Evet","Hayır","evet, kesinlikle elektrikli alırım","bi daha asla almam","hayır","Hayır, Beklemede.","80-90","AC","Evet","arada can sıkıyor ama ufak tefek şeyler, genel olarak memnunum","Elektrikli olduğu için","7","9","8","2","7","5","1","1","3","2","evet","1-3","1 Aydan Az","hayır","evet","haftada bir yaparım en az, nolur nolmaz","hayır almadım","1'den çok yerden geliyor","zaman zaman","evet","zaman zaman","zaman zaman","nadiren, 1-2 kez","zaman zaman","nadiren, 1-2 kez","evet","hayır değişmedi","Cam krikosu, kamera netliği, PNR ışıklarının yanıp sönmesi",""
"2025/07/23 11:11:27 pm GMT+3","36-45","07 - Antalya","3-10 Yıl","12-24 Ay","Hayır","2024","haziran","Pamukkale","1.5 26","V2 Long Range","20,000 - 50,000","Hayır","Evet","Evet","evet, kesinlikle elektrikli alırım","sorunlar giderilirse, düşünebilirim.","hayır","Evet","80'e kadar","AC","Evet","arada can sıkıyor ama ufak tefek şeyler, genel olarak memnunum","Yerli olduğu için","9","9","9","8","10","10","6","7","4","7","hayır","1","1 Aydan Az","evet","evet","birkaç ayda bir","hayır almadım","1'den çok yerden geliyor","hayır, hiç","evet","nadiren, 1-2 kez","nadiren, 1-2 kez","nadiren, 1-2 kez","zaman zaman","hayır, hiç","evet","hayır değişmedi","",""
"2025/07/23 11:12:56 pm GMT+3","36-45","27 - Gaziantep","10 Yıl+","12-24 Ay","Hayır","2023","aralık","Kula","1.5 26","V2 Long Range","20,000 - 50,000","Hayır","Evet","Evet","evet, kesinlikle elektrikli alırım","sorunlar giderilirse, düşünebilirim.","hayır","Evet","80-90","DC","Hayır, istasyondan","arada can sıkıyor ama ufak tefek şeyler, genel olarak memnunum","Finansman Desteği / Makul Fiyat","9","8","9","7","7","6","1","2","2","6","hayır","1-3","1 Ay","hayır","evet","birkaç ayda bir","hayır almadım","1 yerden geliyor","hayır, hiç","fark etmedim","zaman zaman","nadiren, 1-2 kez","nadiren, 1-2 kez","nadiren, 1-2 kez","nadiren, 1-2 kez","hayır","evet değişti","",""
"2025/07/23 11:19:35 pm GMT+3","26-35","34 - İstanbul","3-10 Yıl","6-12 Ay","Hayır","2024","aralık","Kula","1.5 26","V2 Long Range","1,000 - 10,000","Hayır","Evet","Evet","evet, kesinlikle elektrikli alırım","sorunlar giderilirse, düşünebilirim.","hayır","Evet","80'e kadar","DC","Hayır, istasyondan","arada can sıkıyor ama ufak tefek şeyler, genel olarak memnunum","Finansman Desteği / Makul Fiyat","9","10","10","8","5","5","1","3","1","7","hayır","1-3","0","hayır","evet","birkaç ayda bir","hayır almadım","hayır, varsa da fark etmedim","hayır, hiç","hayır, nereden çıktı","nadiren, 1-2 kez","hayır, hiç","nadiren, 1-2 kez","zaman zaman","nadiren, 1-2 kez","hayır","hayır değişmedi","",""
"2025/07/23 11:20:46 pm GMT+3","36-45","17 - Çanakkale","10 Yıl+","6-12 Ay","Hayır","2024","ekim","Kula","1.5 24","V2 Long Range","10,000 - 20,000","Hayır","İkinci El Aldım","Evet","evet, kesinlikle elektrikli alırım","sorunlar giderilirse, düşünebilirim.","evet","Hayır, Beklemede.","80'e kadar","DC","Hayır, istasyondan","arada can sıkıyor ama ufak tefek şeyler, genel olarak memnunum","Elektrikli olduğu için","7","8","7","5","5","5","1","1","1","7","hayır","0","0","","evet","birkaç ayda bir","hayır almadım","1 yerden geliyor","hayır, hiç","hayır, nereden çıktı","zaman zaman","nadiren, 1-2 kez","nadiren, 1-2 kez","nadiren, 1-2 kez","hayır, hiç","hayır","hayır değişmedi","",""
"2025/07/23 11:22:33 pm GMT+3","18-25","06 - Ankara","1-3 Yıl","12-24 Ay","Hayır","2024","haziran","Pamukkale","1.5 26","V2 Long Range","20,000 - 50,000","Evet","Evet","Evet","evet, kesinlikle elektrikli alırım","evet, alabilirim","evet","Hayır, Beklemede.","80-90","AC","Evet","arada can sıkıyor ama ufak tefek şeyler, genel olarak memnunum","Finansman Desteği / Makul Fiyat","9","9","9","8","8","8","2","3","3","7","hayır","0","0","","evet","haftada bir yaparım en az, nolur nolmaz","hayır almadım","1 yerden geliyor","hayır, hiç","evet","sık sık","nadiren, 1-2 kez","nadiren, 1-2 kez","zaman zaman","zaman zaman","evet","hayır değişmedi","",""
"2025/07/23 11:23:34 pm GMT+3","36-45","25 - Erzurum","10 Yıl+","12-24 Ay","Hayır","2023","kasım","Gemlik","1.5 26","V1 Standart","20,000 - 50,000","Evet","Evet","Evet","evet, kesinlikle elektrikli alırım","bi daha asla almam","hayır","Hayır, Beklemede.","80-90","AC","Evet","arada can sıkıyor ama ufak tefek şeyler, genel olarak memnunum","Yerli olduğu için","8","9","7","10","7","5","5","4","2","7","evet","3-5","1 Aydan Az","evet","evet","ayda bir falan","hayır almadım","1 yerden geliyor","hayır, hiç","evet","nadiren, 1-2 kez","hayır, hiç","nadiren, 1-2 kez","hayır, hiç","hayır, hiç","evet","hayır değişmedi","Alt kontrol ekranım gidip geliyor, 3 kere servise götürdüm. Ayrıca aksesuarda ve spor modda, dur kalk yaparken küt sesi geliyor arkadan ","Arabanın değerini bitirdiler, tüm araçlar ikinci eli bile değer alırken bizi bitirdiler. Ben kullanıcıyım ancak bu kadar değer kaybetmesi normal değil"
"2025/07/23 11:26:37 pm GMT+3","45+","41 - Kocaeli","10 Yıl+","12-24 Ay","Hayır","2023","kasım","Kapadokya","1.5 24","V2 Long Range","10,000 - 20,000","Evet","Evet","Evet","evet, kesinlikle elektrikli alırım","sorunlar giderilirse, düşünebilirim.","evet","Hayır, Beklemede.","80-90","AC","Evet","arada can sıkıyor ama ufak tefek şeyler, genel olarak memnunum","Finansman Desteği / Makul Fiyat","7","8","7","8","7","7","1","1","3","5","hayır","0","0","","evet","birkaç ayda bir","hayır almadım","1 yerden geliyor","zaman zaman","evet","zaman zaman","hayır, hiç","nadiren, 1-2 kez","zaman zaman","nadiren, 1-2 kez","hayır","hayır değişmedi","",""
"2025/07/23 11:37:33 pm GMT+3","36-45","34 - İstanbul","10 Yıl+","2 Yıl +","Hayır","2023","ağustos","Anadolu","1.5 24","V2 Standart","10,000 - 20,000","Evet","Evet","Hayır","evet, kesinlikle elektrikli alırım","evet, alabilirim","evet","Evet","80-90","DC","Hayır, istasyondan","evet, iyiki almışım","Yerli olduğu için","10","10","10","10","10","10","6","4","8","10","hayır","1-3","1 Aydan Az","hayır","evet","birkaç ayda bir","hayır almadım","hayır, varsa da fark etmedim","hayır, hiç","hayır, nereden çıktı","hayır almadım","hayır, hiç","nadiren, 1-2 kez","hayır, hiç","nadiren, 1-2 kez","bilmiyorum","hayır değişmedi","",""
"2025/07/23 11:38:04 pm GMT+3","45+","34 - İstanbul","10 Yıl+","2 Yıl +","Hayır","2023","kasım","Kapadokya","1.5 26","V2 Long Range","20,000 - 50,000","Hayır","Evet","Evet","evet, kesinlikle elektrikli alırım","evet, alabilirim","evet","Hayır, Beklemede.","80-90","AC","Evet","evet, iyiki almışım","Finansman Desteği / Makul Fiyat","7","8","8","10","10","7","5","5","3","10","hayır","1","1 Aydan Az","hayır","evet","birkaç ayda bir","hayır almadım","hayır, varsa da fark etmedim","nadiren, 1-2 kez","evet","zaman zaman","hayır, hiç","nadiren, 1-2 kez","nadiren, 1-2 kez","hayır, hiç","evet","evet değişti","",""
"2025/07/23 11:40:43 pm GMT+3","36-45","16 - Bursa","10 Yıl+","6-12 Ay","Hayır","2024","eylül","Kapadokya","1.5 26","V2 Long Range","10,000 - 20,000","Hayır","Evet","Evet","evet, kesinlikle elektrikli alırım","sorunlar giderilirse, düşünebilirim.","evet","Evet","80'e kadar","DC","Hayır, istasyondan","arada can sıkıyor ama ufak tefek şeyler, genel olarak memnunum","Finansman Desteği / Makul Fiyat","10","8","10","9","8","10","5","10","10","10","evet","0","0","","evet","birkaç ayda bir","nadiren, 1-2 kez","1 yerden geliyor","hayır, hiç","hayır, nereden çıktı","nadiren, 1-2 kez","nadiren, 1-2 kez","nadiren, 1-2 kez","nadiren, 1-2 kez","hayır, hiç","hayır","hayır değişmedi","",""
"2025/07/23 11:45:34 pm GMT+3","18-25","58 - Sivas","1-3 Yıl","6-12 Ay","Hayır","2024","eylül","Kapadokya","1.5 24","V2 Long Range","10,000 - 20,000","Evet","Evet","Evet","evet, kesinlikle elektrikli alırım","evet, alabilirim","evet","Evet","80'e kadar","DC","Hayır, istasyondan","arada can sıkıyor ama ufak tefek şeyler, genel olarak memnunum","Finansman Desteği / Makul Fiyat","10","9","10","7","7","9","5","5","5","4","hayır","0","0","","evet","birkaç ayda bir","hayır almadım","hayır, varsa da fark etmedim","nadiren, 1-2 kez","evet","nadiren, 1-2 kez","hayır, hiç","nadiren, 1-2 kez","zaman zaman","hayır, hiç","hayır","hayır değişmedi","",""
"2025/07/23 11:48:31 pm GMT+3","26-35","34 - İstanbul","3-10 Yıl","12-24 Ay","Hayır","2024","mart","Gemlik","1.5 24","V2 Long Range","20,000 - 50,000","Hayır","Evet","Evet","evet, kesinlikle elektrikli alırım","evet, alabilirim","hayır","Hayır, Beklemede.","80-90","AC","Evet","arada can sıkıyor ama ufak tefek şeyler, genel olarak memnunum","Finansman Desteği / Makul Fiyat","9","9","9","8","8","8","2","1","1","8","hayır","1-3","1 Aydan Az","evet","evet","birkaç ayda bir","hayır almadım","1 yerden geliyor","hayır, hiç","evet","nadiren, 1-2 kez","hayır, hiç","nadiren, 1-2 kez","zaman zaman","hayır, hiç","bilmiyorum","hayır değişmedi","Amortisör takozu gıcırtısı.","Elinize sağlık."
"2025/07/23 11:49:10 pm GMT+3","36-45","65 - Van","10 Yıl+","12-24 Ay","Hayır","2024","mayıs","Gemlik","1.5 24","V2 Long Range","10,000 - 20,000","Hayır","Evet","Evet","evet, kesinlikle elektrikli alırım","evet, alabilirim","evet","Evet","80'e kadar","DC","Hayır, istasyondan","evet, iyiki almışım","Elektrikli olduğu için","9","10","10","10","10","10","8","7","8","10","hayır","1","0","hayır","hayır","birkaç ayda bir","hayır almadım","hayır, varsa da fark etmedim","hayır, hiç","evet","nadiren, 1-2 kez","nadiren, 1-2 kez","hayır, hiç","zaman zaman","hayır, hiç","hayır","evet değişti","Koltuk pozisyonlama hatası aldım.",""
"2025/07/23 11:58:50 pm GMT+3","26-35","34 - İstanbul","10 Yıl+","12-24 Ay","Hayır","2023","aralık","Pamukkale","1.5 26","V2 Long Range","10,000 - 20,000","Evet","Evet","Evet","evet, kesinlikle elektrikli alırım","evet, alabilirim","evet","Hayır, Beklemede.","80-90","AC","Evet","evet, iyiki almışım","Güvenli olduğu için","10","10","10","10","10","10","5","5","5","10","hayır","1","0","hayır","hayır","birkaç ayda bir","hayır almadım","hayır, varsa da fark etmedim","hayır, hiç","hayır, nereden çıktı","nadiren, 1-2 kez","hayır, hiç","hayır, hiç","hayır, hiç","hayır, hiç","evet","hayır değişmedi","",""
